movie_id,title,release_year,runtime,budget,revenue,popularity,vote_average,vote_count,original_language,director_id
4476,Легенды осени,1994,133,30000000,160638883,4.9597,7.383,2753,en,9181
11008,Майор Пэйн,1995,95,,30112050,4.0061,6.451,854,en,14692
47504,Маленькая Одесса,1994,98,,,1.4059,6.4,221,en,20561
32325,Моя безумная жизнь,1994,92,,3267313,1.2959,6.6,35,en,3110
43742,Любовный роман,1994,108,60000000,18300000,1.8128,5.4,60,en,58463
28313,Дело Исайи,1995,106,17000000,7603766,2.0447,6.471,103,en,15912
11318,Безумие короля Георга,1994,107,,15238994,1.4586,6.8,249,en,55476
3036,Франкенштейн,1994,123,45000000,112000000,4.2866,6.439,1316,en,11181
40490,Кто в доме хозяин,1995,96,,,1.5986,5.38,183,en,27444
24070,Совершенно чокнутый,1994,97,15000000,,2.6463,5.3,213,en,9248
8986,Карманные деньги,1994,110,,18137661,3.8773,6.391,299,en,24318
10510,Чудо на 34-й улице,1994,114,,46264384,8.1046,6.745,1100,en,56911
17402,Рапсодия Майями,1995,95,,5,1.8853,5.2,58,en,5065
38722,Моя семья,1995,128,5500000,11079373,2.5797,7.444,81,en,16395
8438,Убийство первой степени,1995,122,20000000,29500000,2.3449,7.1,591,en,54971
11593,Дураков нет,1994,110,20000000,39491975,1.9666,6.8,326,en,6729
1945,Нелл,1994,112,31000000,106683817,2.5177,6.6,533,en,10781
39310,Дела в Нью-Джерси,1995,98,5000000,,1.0983,6.244,45,en,17278
109560,New York Undercover Cop,1993,88,,,1.168,2.813,9,en,129957
56428,Большой бедлам,1994,89,4800000,,0.1883,4.6,9,en,70905
63105,Немезида 2: Невидимка,1995,83,,,1.4346,4.18,50,en,63937
131957,Nina Takes a Lover,1995,100,,,1.1487,5.393,14,en,131792
241,Прирожденные убийцы,1994,118,34000000,50283563,3.6355,7.053,3633,en,1152
9058,Только Ты,1994,115,,20059210,3.7093,6.7,548,en,13563
527,Когда-то были воинами,1994,102,950000,6700000,1.9964,7.374,461,en,7256
6950,Эпидемия,1995,129,50000000,189900000,2.66,6.6,2392,en,5231
101,Леон,1994,133,16000000,45284974,8.4305,8.299,15593,fr,59
