movie_id,genre_id
103,18
33542,80
33542,28
33542,35
33542,53
43566,80
43566,18
43566,9648
71754,18
43612,35
51352,99
16934,35
16934,80
16934,18
10324,35
10324,10749
78406,35
78406,18
55731,12
55731,35
55731,18
32119,18
32119,80
11066,35
11066,10749
11104,18
11104,35
11104,10749
37975,18
37975,10749
2074,35
27793,10751
27793,14
27793,12
27793,35
44284,18
290157,99
110972,35
110972,10749
32622,18
73067,18
73067,10749
73067,10752
11863,9648
11863,53
55475,35
55475,18
55475,10749
124636,10402
124636,99
9101,35
123360,99
5757,35
39428,18
124639,18
9302,18
9302,10749
11000,35
525153,18
249882,18
16388,35
16388,18
16388,10749
9737,28
9737,35
9737,80
9737,53
30765,12
30765,18
30765,10751
10474,18
10474,80
22279,10749
22279,18
22279,35
30157,80
30157,35
30157,18
30157,53
568,18
568,36
11780,12
11780,36
11780,18
11780,28
11780,10752
34996,18
34996,27
414,28
414,80
414,14
649,18
649,10749
1873,18
1873,53
5894,35
1775,35
20649,80
20649,18
20649,9648
10329,28
10329,12
10329,878
8963,53
8963,28
8963,18
8963,10752
26564,99
8068,53
8068,28
8068,80
8512,53
8512,80
8512,9648
1572,28
1572,53
13552,35
13552,80
13552,18
259209,18
259209,80
6520,28
6520,12
6520,18
6520,10749
9073,10751
9073,12
9073,18
9073,35
10428,28
10428,80
10428,53
10428,18
17447,35
17447,18
17447,10749
9886,878
9886,28
9886,12
9482,878
9482,28
19326,35
19326,18
9344,18
9344,80
9071,35
8973,27
8973,14
8973,18
15730,35
15730,18
47608,18
47608,10749
2293,10749
2293,35
9070,28
9070,12
9070,878
9070,14
68274,35
68274,18
68274,10749
48787,53
48787,27
48787,80
34574,27
34574,53
1642,80
1642,18
1642,9648
1642,53
1642,28
11472,10749
11472,35
36196,35
36196,18
36196,10749
11980,27
11980,14
11980,53
11980,28
11980,80
11980,18
11980,9648
58372,14
58372,35
58372,18
32646,18
10533,18
10533,10749
56088,99
10802,18
10149,35
10149,18
18402,35
18402,18
9348,878
9348,27
9348,28
139408,18
281,80
281,18
281,878
281,53
5967,18
5967,10749
79593,53
79593,80
47939,14
47939,10751
47939,18
36834,18
36834,10749
9090,35
9090,18
3512,28
3512,53
52856,35
52856,18
52856,10751
77350,99
9560,18
9560,10749
9804,12
9804,28
9804,878
31611,18
65796,37
65796,28
65796,18
65796,36
49805,18
26258,12
26258,10751
26258,35
26258,28
50797,18
19155,18
19155,10752
76,18
76,10749
11017,35
37141,18
37141,53
9382,35
9382,18
6715,18
6715,10751
18256,53
18256,18
18256,27
18256,9648
22625,18
22625,10749
2292,35
1909,10749
1909,18
1909,35
8984,53
8984,18
8984,80
61813,53
61813,14
4954,28
4954,53
4954,80
62488,80
62488,35
62488,14
10531,18
10531,53
11929,80
11929,18
11929,9648
8467,35
10451,35
10451,18
10451,10749
20156,18
18395,35
18395,80
18395,53
522,35
522,18
522,36
397,35
397,10749
10525,35
10525,18
10525,10749
27985,28
27985,12
27985,18
27985,10751
15789,12
15789,35
15789,10749
15789,16
15789,10751
27303,18
27303,53
27303,27
21183,18
21183,12
21183,10751
10954,36
10954,18
10954,10402
47867,18
47867,10751
47867,14
43475,14
43475,16
43475,10751
43475,10402
43475,12
72031,18
72031,28
72031,53
72031,80
14275,99
1024,18
1024,14
17207,35
13701,18
13701,10402
13701,10749
14819,10751
14819,35
32631,28
32631,18
32631,53
11777,35
11777,18
11777,10749
628,27
628,18
628,14
87729,18
87729,10749
87729,36
18713,35
18713,80
6280,35
6280,878
9061,28
9061,18
9061,9648
9061,53
37108,12
37108,14
37108,35
37108,10751
6071,80
6071,53
6071,18
11,12
11,28
11,878
9587,18
9587,10749
19101,18
19101,10751
19101,14
49980,18
17961,18
17961,53
18183,18
18183,10749
4476,18
4476,37
4476,10749
4476,10752
4476,28
11008,12
11008,35
11008,10751
47504,18
47504,80
32325,80
32325,18
43742,18
43742,10749
28313,18
11318,35
11318,18
11318,36
3036,18
3036,27
3036,878
3036,10749
40490,35
40490,10751
24070,35
24070,18
24070,10749
8986,35
8986,10749
8986,18
10510,14
10510,18
10510,10751
17402,35
17402,10749
38722,35
38722,18
