movie_id,person_id,role
27281,3393,Original Music Composer
105045,2308,Music
40001,9152,Original Music Composer
29621,47927,Original Music Composer
117730,4009323,Original Music Composer
20762,40438,Original Music Composer
37144,117842,Original Music Composer
48260,2361473,Original Music Composer
12656,1285208,Original Music Composer
12656,1242713,Original Music Composer
12656,1285211,Original Music Composer
12656,1233757,Original Music Composer
12656,1285210,Original Music Composer
38867,9204,Original Music Composer
25969,51386,Original Music Composer
44103,21699,Music
753,11416,Original Music Composer
43634,2987,Original Music Composer
9103,14712,Original Music Composer
90214,21276,Music
29649,63964,Original Music Composer
29649,4270653,Original Music Composer
10990,10771,Original Music Composer
8866,117,Original Music Composer
12233,66941,Original Music Composer
12233,168702,Songs
12233,71791,Songs
12233,1880612,Songs
12233,1785342,Songs
12233,5310750,Songs
12233,1792776,Songs
12233,35496,Songs
12233,2032410,Songs
12233,3612151,Songs
12233,2158108,Songs
12233,2049,Songs
12233,71794,Songs
12233,62049,Songs
12233,18898,Songs
23449,7728,Original Music Composer
36355,49285,Original Music Composer
37667,35079,Original Music Composer
90148,125212,Original Music Composer
922,15425,Original Music Composer
11876,37187,Original Music Composer
52633,99452,Original Music Composer
62364,27045,Original Music Composer
11687,64911,Music
9304,1528,Original Music Composer
73183,68358,Music
123067,61801,Original Music Composer
9100,5912,Original Music Composer
20759,63976,Original Music Composer
46063,4140,Original Music Composer
365371,1972208,Music
32513,1978933,Original Music Composer
40651,1797721,Original Music Composer
36915,1528,Original Music Composer
36915,2612131,Music
40507,71108,Music
9802,57263,Original Music Composer
9802,947,Original Music Composer
25697,4500,Original Music Composer
21588,38759,Original Music Composer
21588,1575784,Original Music Composer
664,9989,Original Music Composer
11867,35838,Original Music Composer
9323,57304,Original Music Composer
10280,46353,Original Music Composer
10535,10494,Original Music Composer
124613,469,Original Music Composer
532,7657,Original Music Composer
26744,18593,Music
16299,28947,Original Music Composer
10547,58124,Original Music Composer
245268,2056949,Music
245268,19407,Original Music Composer
935,14252,Original Music Composer
55613,2813269,Music
41007,9245,Music
35645,49285,Original Music Composer
110465,5805,Original Music Composer
110465,14861,Original Music Composer
40751,1011224,Original Music Composer
40751,68029,Original Music Composer
275096,574872,Music
85778,13669,Music
11101,36596,Original Music Composer
9826,3393,Original Music Composer
9879,117,Original Music Composer
63564,4055,Music
22621,101831,Original Music Composer
7095,7714,Original Music Composer
7095,56683,Songs
26890,7491,Music
46732,7422,Original Music Composer
124633,68047,Original Music Composer
196940,4023093,Music
181083,2904102,Original Music Composer
41225,3098,Original Music Composer
41225,36125,Original Music Composer
41225,1763198,Original Music Composer
87190,2680171,Original Music Composer
87190,2680172,Original Music Composer
32872,63964,Original Music Composer
32872,5287,Original Music Composer
602,6489,Original Music Composer
14553,39023,Original Music Composer
9566,947,Original Music Composer
10545,15813,Songs
10545,15813,Music
10545,42910,Songs
9894,9039,Original Music Composer
11543,69794,Original Music Composer
9268,37,Original Music Composer
9327,3393,Original Music Composer
123763,1069958,Music
